,dates,candidates_scores,health_scores,immigration_scores,jobs-race_scores,environment_scores,guns_scores,party_scores,economy_scores,winner
63,2012-10-09,1.7857142857142858,,1.75,2.0,2.4444444444444446,1.75,2.0,2.0625,0
64,2012-10-10,1.9375,2.1666666666666665,2.0,1.75,1.8888888888888888,1.8333333333333333,2.125,1.9361702127659575,0
65,2012-10-11,1.8888888888888888,1.75,2.0,1.75,1.7692307692307692,1.375,2.272727272727273,1.9090909090909092,0
66,2012-10-12,2.0,1.3333333333333333,2.0,1.75,2.0,1.9285714285714286,2.1363636363636362,2.0476190476190474,0
67,2012-10-13,2.0454545454545454,2.2,2.0,2.3333333333333335,2.3333333333333335,2.0,1.8571428571428572,1.6923076923076923,0
68,2012-10-14,2.0,2.0,,1.5,1.5,1.5714285714285714,1.8181818181818181,1.8,0
69,2012-10-15,2.1,1.3333333333333333,2.0,2.0,2.5,1.4444444444444444,1.9166666666666667,2.088235294117647,0
70,2012-10-16,2.1818181818181817,2.0,2.0,2.0,2.111111111111111,1.8181818181818181,1.8125,1.935483870967742,0
71,2012-10-17,2.0350877192982457,2.0,2.0,1.5,1.9285714285714286,1.736842105263158,1.8,1.8461538461538463,0
72,2012-10-18,1.9411764705882353,2.2,2.0,1.8571428571428572,1.8,1.7142857142857142,2.0,1.9523809523809523,0
73,2012-10-19,2.12,2.0,1.8,2.0,1.4285714285714286,1.875,2.0,1.8461538461538463,0
74,2012-10-20,1.7142857142857142,2.3333333333333335,2.5,2.0,2.25,2.0,1.6428571428571428,2.0,0
75,2012-10-21,2.4,2.2,,1.0,2.0,1.75,2.0,2.0,0
76,2012-10-22,2.111111111111111,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.8571428571428572,1.625,2.3333333333333335,1.8181818181818181,0
77,2012-10-23,1.9038461538461537,2.0,1.7142857142857142,2.0,1.625,1.375,1.9583333333333333,1.8157894736842106,0
78,2012-10-24,2.0714285714285716,2.4,2.0,1.9090909090909092,1.7142857142857142,2.0,1.7916666666666667,1.9142857142857144,0
79,2012-10-25,2.0,2.375,2.0,2.0,1.8125,1.9285714285714286,2.1923076923076925,1.9111111111111112,0
80,2012-10-26,2.142857142857143,2.0,2.0,1.75,2.0,2.076923076923077,1.84,1.7333333333333334,0
81,2012-10-27,1.875,2.0,2.0,1.75,2.5,1.7777777777777777,1.7272727272727273,1.8148148148148149,0
82,2012-10-28,2.0,2.0,2.0,1.0,2.0,1.8,1.7777777777777777,1.8,0
83,2012-10-29,2.4,2.0,2.6,1.6666666666666667,2.0714285714285716,2.3,2.0,1.8421052631578947,0
84,2012-10-30,2.5,1.3333333333333333,2.0,2.0,1.8,1.5,2.1666666666666665,1.675,0
85,2012-10-31,1.8181818181818181,2.5,1.8333333333333333,2.25,2.0714285714285716,1.75,1.96,1.8636363636363635,0
86,2012-11-01,2.0,1.8571428571428572,1.0,1.5,2.0,2.0,1.8695652173913044,1.8709677419354838,0
87,2012-11-02,2.130434782608696,2.1666666666666665,2.0,2.0,2.3333333333333335,2.142857142857143,2.388888888888889,1.9210526315789473,0
88,2012-11-03,2.3333333333333335,3.0,,2.25,2.3333333333333335,2.0,2.0,1.6666666666666667,0
89,2012-11-04,2.1724137931034484,2.0,3.0,1.6666666666666667,1.75,1.875,1.9375,1.7619047619047619,0
90,2012-11-05,2.25,2.0,2.0,1.8,2.3333333333333335,1.8333333333333333,2.1714285714285713,1.8571428571428572,0
91,2012-11-06,2.3214285714285716,1.5,2.0,1.7142857142857142,2.0,2.0,1.9722222222222223,2.0,0
92,2012-08-19,,1.75,1.6666666666666667,2.0,1.5,2.6666666666666665,1.5,2.3333333333333335,0
