,created_at,text,user_followers_count,retweet_count,favorite_count,hashtags
109,2016-12-29,@WhitieYoonoh This may be phenomenal. The potential of this game is high. https://t.co/zQiqVJGEB6,80,0,0,[]
113,2016-12-29,269 #TeamGOT7,465,0,0,"[{'text': 'TeamGOT7', 'indices': [4, 13]}]"
119,2016-12-29,@itsjustmalia friend. Jesus.,563,0,0,[]
120,2016-12-29,#Indilens Tottenham Hotspur move within one point of Arsenal after win over Southampton https://t.co/R5bs5ZydS5 https://t.co/xr3qR91gE0,3924,0,0,"[{'text': 'Indilens', 'indices': [0, 9]}]"
121,2016-12-29,RT @baddestkordei: 4. come back to me - vanessa hudgens https://t.co/LtakZKOGAL,672,0,0,[]
128,2016-12-29,nagkapakpak si Elf McCoy HAHA! @hashtag_mccoydl ! https://t.co/Vj7jgBwri9,26,0,0,[]
134,2016-12-29,#tall woman sex video mexican tiny teens https://t.co/YgylnUbVV6,16,0,0,"[{'text': 'tall', 'indices': [0, 5]}]"
142,2016-12-29,RT @BarryNMooch: And they call US  Fascists https://t.co/U6PlQicSgU,1423,0,0,[]
147,2016-12-29,@CatSkillRaps @stephennotsaint @cwilcox1976 @StephenKing how do u  know that he never released taxes that bcuz small hands can't hold pen?,350,0,0,[]
150,2016-12-29,i'd pay him to pin me down  https://t.co/7YYAjdIQFm,867,0,0,[]
153,2016-12-29,it's sad that boyfriend is active in japan but not in korea #TeamEXO,57,0,0,"[{'text': 'TeamEXO', 'indices': [60, 68]}]"
157,2016-12-29,#TeamEXO 30th,12,0,0,"[{'text': 'TeamEXO', 'indices': [0, 8]}]"
158,2016-12-29,#MTVStars5SOS #AP405SOS https://t.co/GEg4EKfHFR https://t.co/roUhZworu3 https://t.co/nKLb2i2wfL,1,0,0,"[{'text': 'MTVStars5SOS', 'indices': [0, 13]}, {'text': 'AP405SOS', 'indices': [14, 23]}]"
165,2016-12-29,I want this forever,571,0,0,[]
173,2016-12-29,Sign To Stop DAPL From Stealing Iowa Farm Land https://t.co/W0i3FxPwfb,259266,0,0,[]
174,2016-12-29,Irnd #TeamGOT7,1,0,0,"[{'text': 'TeamGOT7', 'indices': [5, 14]}]"
